graph,Question,Essay,image_number,Type,argument_clarity(ground_truth),justifying_persuasiveness(ground_truth),organizational_structure(ground_truth),coherence(ground_truth),essay_length(ground_truth),grammatical_accuracy(ground_truth),grammatical_diversity(ground_truth),lexical_accuracy(ground_truth),lexical_diversity(ground_truth),punctuation_accuracy(ground_truth)
https://raw.githubusercontent.com/jsu360/MLLM-for-AES/main/graph%20in%20data1/%E5%9B%BE%E7%89%873.png,"The bar chart below describes some changes about the percentage of people were born in Australia and who were born outside Australia living in urban, rural and town between 1995 and 2010.Summarise the information by selecting and reporting the main features and make comparisons where relevant.","Between 1995 and 2010, a study was conducted representing the percentages of people born in Australia, versus people born outside Australia, living in urban, rural, and town. First, in 1995, cities represented the major percentage of habitat by roughly 50 percent, followed by rural areas and towns came in last, among people born in Australia. On the other hand, people born outside Australia, cities showed the most percentages of 6o percent, followed by rural areas and towns. In 2010, among people born in Australia, cities had an increase more than 20 percent increase in the total representation and a major decrease in towns and rural areas. Conversely, people born outside Australia, cities had the most percentage among both studies, followed by rural areas and towns.",multi_image,bar_chart,2.5,2,0,3,3,2.5,4,4,3,3
https://raw.githubusercontent.com/jsu360/MLLM-for-AES/main/graph%20in%20data1/%E5%9B%BE%E7%89%873.png,"The bar chart below describes some changes about the percentage of people were born in Australia and who were born outside Australia living in urban, rural and town between 1995 and 2010.Summarise the information by selecting and reporting the main features and make comparisons where relevant.","The left chart shows the population change happened in Austrilia from 1995 to 2010. In 1995, half of the people born in australia are from cities, 30% from rural areas and only 20% are from towns. For the people outside of Australia, most of the people still born in cities, which is around 60%. but the number of rural areas increased to 40% with the towns born rate decreased to only 10%.
In 2010, The people born in cities increased significianly in both in and outside Australia, especially in outside Australia, which reached 80%. The people bore in towns decreased simutanuously, to around 17% of the people born in Australia and 10% of outside Australia respectively. The most significiant change happened at rual areas numbers. It has shrinked to 17% of people born in Australia, and only around 5% of peopel bore outside Australia.
Overall, the chart shows us the trend that many people moved to Cities from rual area in the past 15 years.",multi_image,bar_chart,2.5,3.5,3.5,3.5,3.5,3,2.5,2.5,3,3.5
https://raw.githubusercontent.com/jsu360/MLLM-for-AES/main/graph%20in%20data2/%E5%9B%BE%E7%89%8780.png,"The graph below shows the number of overseas visitors to three different areas in a European country between 1987 and 2007.Summarise the information by selecting and reporting the main features, and make comparisons where relevant.","Information about the thousands of visits from overseas to three different European natural places during 1987 and 2007 is provided in the given line chart.
Overall, it can be seen that the number of visitors increased significantly in the three places compared to the initial year. Although, visits to Europeans lakes demostrated more changes over the 20 years than its counterparts.
In more detail, the most steady growth was experienced by the visits to Europeans mountains. For example, from 1987 the number of visitors grew from 20,000 to almost the double 20 years later. Similarly, visits to the coast also rose after a slight fall in 1992, reaching almost twice as much since 1987, with 75,000.
Those visiting Europeans lakes subtantially increased over the years from 10 thousand to a peak of 75 thousand in 2002. Despite falling for about 25 thousand in 2007, the visitis to this place remained higher compared to 1987, with 50,000 at the end of the period.",single_image,line_chart,4.5,3.5,3.5,4,4.5,3,3,3,4,4
https://raw.githubusercontent.com/jsu360/MLLM-for-AES/main/graph%20in%20data2/%E5%9B%BE%E7%89%8780.png,"The graph below shows the number of overseas visitors to three different areas in a European country between 1987 and 2007.Summarise the information by selecting and reporting the main features, and make comparisons where relevant.","This graph depicts the changes in tourists visits between 1987 and 2007 to these three places in Europe. It's clear from the graph, that generally the coast area have the highest number of visitors all over the years.
According to what is shown in the linear figure in 1987 period visitors first place was the coast with 40 visitor and in seconed place was the mountains with half number of coast's visitors and the lakes became lastly.
While the statistics have been changed at 2002 , the lakes sharply increased to be the first place by reaching the highest number of it's visitors, and the coast is the seconed.
Finally at 2007 , the coast speedly increased to be most place having tourists and the lakes dramaticlly declined to take the seconed place. The rules switched between coast and lakes numbers.
To sum up , the linear graph describe a constantly change in mountains visitors numbers , and sharply changes in coast and lakes visitors numbers.",single_image,line_chart,3,2.5,3,3.5,3.5,2.5,2.5,2.5,2,2.5
https://raw.githubusercontent.com/jsu360/MLLM-for-AES/main/graph%20in%20data2/%E5%9B%BE%E7%89%8780.png,"The graph below shows the number of overseas visitors to three different areas in a European country between 1987 and 2007.Summarise the information by selecting and reporting the main features, and make comparisons where relevant.","The line graph illustrates the number of overseas tourists to three different areas in a European country (coast, mountains, lakes) from 1987 to 2007
Overall, it can be seen that the number of visitors has increased for the three categories of areas over the period given. Furthermore, in 2007 the highest number of visitors was reported on the coast at approximately 85 thousand. The second most popular areas were the lakes and last were the mountains.
In regard to the coast, we can see that the number of visitors from 1987 to 1992 decreased. However, from 1992 to 2007 there was a consistently increased number of tourists climbing to over 70 thousand visitors in the final year of analysis.
About the mountains, the number of overseas tourists begat at 20 thousand and has increased to reach over 30 thousand by 2007.
Finally, the lakes were visited by 10 thousand tourists in 1987 and rose significantly to reach over 70 thousand in 2002 and then decreased to 50 thousand by 2007.",single_image,line_chart,4,4,3.5,3.5,5,4,4,4,3,4
https://raw.githubusercontent.com/jsu360/MLLM-for-AES/main/graph%20in%20data2/%E5%9B%BE%E7%89%8780.png,"The graph below shows the number of overseas visitors to three different areas in a European country between 1987 and 2007.Summarise the information by selecting and reporting the main features, and make comparisons where relevant.","The graph provides information about the number of overseas visitors to three areas in a European country namely; the coast, the mountains and the lakes. The data compare figures recorded in 1987 until 2007.
Overall, the coast had the greatest number of visitors in the first year and will continue until the end of the study. Meanwhile, among the three locations, mountains were noted to be the least among the categories.
In detail, at the start of the year, the coast was noted to be the highest with 40 thousand visitors in 1987. In the succeeding year, it had slightly decreased to 35 thousand. However, it had a sharp increased in number in follwing years and reached almost 80 thousand visitors at 2007
The lakes were observed to be in lowest number of tourists who visited the location, at a number of 10 thousand in 1987, and this was followed by people who went to the mountains with 20 thousand visitors on the same year. However, in 1992 the two locations had identical pattern which rose up to over 20 thousand visitors respectively. The mountains had a slightly contuinuous increasing pattern throughout the remaining years ending with 35 thousand visitors. Meanwhile, the lakes continuous increased its number until 2002 with over 70 thousand visitors This figures, however, showed a drastically decreasing pattern with 50 thousand visitors at the end of 2007.",single_image,line_chart,3,3.5,3,3,4,3,3,3,3,4
https://raw.githubusercontent.com/jsu360/MLLM-for-AES/main/graph%20in%20data2/%E5%9B%BE%E7%89%8780.png,"The graph below shows the number of overseas visitors to three different areas in a European country between 1987 and 2007.Summarise the information by selecting and reporting the main features, and make comparisons where relevant.","The graph bellow illustrates the amount of travellers who travelled between 1987 to 2007 to three different locations (the coast, the mountains, the lakes) in a particular European country, we can see that over all the coast and the lakes had more visitors than the mountains.
The number of the coast visitors reached 40 thousands in 1987 then it declined to its lowest in 1992 by almost 35 thousand visitors and then it went up gradually to 75 thousand travelers in 2007.
While the lake visitors started from 10 thousand in 1987 and continued rising until it reached its peak in 2002 by over 70 thousand travelers, then it witnessed a severe fall and went down to 50 thousand visitors by the year 2007.
unlike the lake and the coast which had their ups and downs the mountain areas had a slowly steady raise of number of visitors which started by 20 thousand visitor in 1987 and reached to almost 35 thousand visitors in 2007.",single_image,line_chart,3,3.5,3.5,3.5,4.5,3,2.5,2.5,3,5
https://raw.githubusercontent.com/jsu360/MLLM-for-AES/main/graph%20in%20data2/%E5%9B%BE%E7%89%8780.png,"The graph below shows the number of overseas visitors to three different areas in a European country between 1987 and 2007.Summarise the information by selecting and reporting the main features, and make comparisons where relevant.","The graph below illustrates the amount of overseas visitors to three different places ( the coast, the mountains, the lakes ) in a European country between the period 1987 to 2007. The unit used in the graph is thousands
Overall, the lakes had the lowest amount of visitors in the graph in 1987 by 10 thousand visitors in oppose the coast had the most number of visitors in the graph in 2007 by slightly over 70 thousand visitors. The mountains had the lowest amount of visitors in all the times visitors combined while the coast and the lakes were really close to each other in the overall amount of vistors nearly the same amount of visitors.
In the period from 1987 to 1992 The coast had the highest number of visitors by approximately 40 thousand visitors while the lakes had the lowest number of visitors by nearly 10 thousand visitors and the mountains were the middle between them by slightly over 20 thousand visitors.
In the period from 1992 to 1997 the coast also was the highest number of visitors by around 40 thousand visitors in meantime the lakes was lower than the mountains it was above 15 by littile and the mountains were above 25 but the lakes suprisingly rocketed and achived the mountains even went more by 30 thousand approximately.",single_image,line_chart,2.5,3,3,3.5,3,4,2.5,2.5,4,5
https://raw.githubusercontent.com/jsu360/MLLM-for-AES/main/graph%20in%20data2/%E5%9B%BE%E7%89%87104.png,The pie charts below show the percentage of time working adults spent on different activities in a particular country in 1958 and 2008. Summarise the information by selecting and reporting the main features and make comparisons where relevantYou should write at least 150 words.,"Information is presented in two pie charts which compare the amount of time, in percentage, that employees spent on six different activities in a country between 1958 and 2008.
Overall, it can be clearly seen that while each activity that working adults did experienced a wide variety of changes, working and sleeping were the most and the second most popular categories in both years respectively. In addition, the most significant change in employees°Ø behavior was travelling to work.
Turning to first main feature, working ranked first in activity that working adults spent their time on over the survey period, contributing to 33% in 1958 and 42% in 2008. Next, sleeping ranked second in the activity that employees did. In 1958 the amount of time that employees slept was an exact 32%, before decreasing slightly to a precise 25% in 2008.
Turning to another main feature, with respect to going out, the popularity of this activity decreased noticeably from a modest 19% in 1958 to only 6% in 2008. Nevertheless, there was also an increase of 5% in relaxing at home. In 1958 only 8% of working adults spent their time on this activity. After that the popularity of this activity rose to a modest 13% in 2008. The last key point to note is travelling to work which rose fourfold from a precise 2% in 1958 to an exact 8% in 2008.",multi_image,pie_chart,4,3.5,4,4,5,4,4,4,4,4.5
https://raw.githubusercontent.com/jsu360/MLLM-for-AES/main/graph%20in%20data2/%E5%9B%BE%E7%89%87104.png,The pie charts below show the percentage of time working adults spent on different activities in a particular country in 1958 and 2008. Summarise the information by selecting and reporting the main features and make comparisons where relevantYou should write at least 150 words.,"The two diagrams compare the proportion of time spent by adult workers in a specific country on different activities over a 50-year period, from 1958 to 2008.
Overall, it can clearly be seen that in 1958, adult workers divided their time roughly equally between work, sleep, and other activities. However, over the next five decades, there was a remarkable increase in working hours, a significant decrease in sleep time, and the total time allocated to other activities remained nearly unchanged.
It is surprising that adult workers spent almost the same amount of time sleeping (32%) as they did working (33%) in 1958. However, by 2008, they slept 7% less (25%) and worked 9% more (42%), which represents a remarkable increase in working hours. As a result, the time they spent at home for relaxation increased from 8% to 13%. In contrast, the time spent going out with friends and family declined dramatically by one-third, from 19% to 6%. The most striking change, however, was the significant increase in time spent traveling to work, which quadrupled from 2% to 8% over the 50 years.",multi_image,pie_chart,4,4.5,4,4,5,5,5,5,4,5
